"","Cell_Line","Drug","GDSC","CCLE"
"323","RMG-I","Sorafenib",0.0244746080234621,NA
"324","RMG-I","Topotecan",NA,NA
"325","SK-OV-3","Crizotinib",0.0272231291113518,0
"326","SK-OV-3","Erlotinib",0.139086315500833,0.0792475338990637
"327","SK-OV-3","Irinotecan",0.129560746556663,0.339595453688611
"328","SK-OV-3","Lapatinib",0.214347669994645,0.132938689552999
"329","SK-OV-3","Nilotinib",0.00899334581262645,0.0149327312091651
"330","SK-OV-3","Paclitaxel",0.00338368825884695,0.692259800488683
"331","SK-OV-3","Palbociclib",0.0172950176553656,0.0686559874236537
"332","SK-OV-3","PD-0325901",0.0340962885356019,0.0640051761631971
"333","SK-OV-3","PLX4720",0.0839628070968583,0.0144535162153483
"334","SK-OV-3","Selumetinib",0.122716461914492,0.0342249999999999
"335","SK-OV-3","Sorafenib",1.83133626165912e-15,0
"336","SK-OV-3","Topotecan",0.158336428026026,0.252752081295395
"337","TOV-112D","Crizotinib",0.00330410061973905,0.0635315948800503
"338","TOV-112D","Erlotinib",0.0485836295441545,0.0845724147706257
"339","TOV-112D","Irinotecan",0.146401186465803,0.501030714405411
"340","TOV-112D","Lapatinib",0.0133805688275743,0.0556340330507357
"341","TOV-112D","Nilotinib",0.0214294322692483,0.0503827842460034
"342","TOV-112D","Paclitaxel",0.031366409538958,0.849063790231335
"343","TOV-112D","Palbociclib",0.221287159270181,0.120680613212173
"344","TOV-112D","PD-0325901",0.0106883749630487,0.109116478537121
"345","TOV-112D","PLX4720",0.0242092439371569,0.00360857225192377
"346","TOV-112D","Selumetinib",0,0.00253171751065958
"347","TOV-112D","Sorafenib",0.112329483120754,0.0649755675363482
"348","TOV-112D","Topotecan",0.410396087532358,0.469263802400397
"349","TOV-21G","Crizotinib",0.0881562909456002,0.114182594393338
"350","TOV-21G","Erlotinib",0.129560176414043,0.0680697732550301
"351","TOV-21G","Irinotecan",0.118780835932282,0.403503887959545
"352","TOV-21G","Lapatinib",0.05385017018241,0.0754941208688145
"353","TOV-21G","Nilotinib",0.0421301097337151,0.0281102460639015
"354","TOV-21G","Paclitaxel",0.0674372915642093,0.718579497460635
"355","TOV-21G","Palbociclib",0.145936351786358,0.00650675897628617
"356","TOV-21G","PD-0325901",0.110691930971282,0.131716788190857
"357","TOV-21G","PLX4720",0.122789475825118,0.0727242455550326
"358","TOV-21G","Selumetinib",0.113655116045119,0.0433543939417839
"359","TOV-21G","Sorafenib",0.0371285456166402,0.033210075894745
"360","TOV-21G","Topotecan",0.206230540118634,0.461001227830973
"361","TYK-nu","Crizotinib",0,0.079777215351906
"362","TYK-nu","Erlotinib",0.142568600415575,7.59855323087732e-15
"363","TYK-nu","Irinotecan",0.174276719431104,0.502113741487911
"364","TYK-nu","Lapatinib",0.0242482002923779,0.0374345148791252
"365","TYK-nu","Nilotinib",0.075129022659263,0.0326584357075259
"366","TYK-nu","Paclitaxel",0.0319569468201043,0.653078309818717
"367","TYK-nu","Palbociclib",0.156049824900076,0.134009455136692
"368","TYK-nu","PD-0325901",0.14786139202292,0.265102680473511
"369","TYK-nu","PLX4720",0.0556573450707942,0
"370","TYK-nu","Selumetinib",0.166128235781619,0.107426248167224
"371","TYK-nu","Sorafenib",0.0695616582130608,0.0249384215852524
"372","TYK-nu","Topotecan",0.313058349038324,0.446322757776659
